"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7bEUKLhWAWN1cBTGDyHNdV","Šantrůček","spotify:artist:4Pizl05TR32XfJD1btfu2T","Už jsme doma","spotify:album:7rrA3jxZJs1Ib644I6OCcC","Uprostřed Slov","spotify:artist:4Pizl05TR32XfJD1btfu2T","Už jsme doma","1990-04-06","https://i.scdn.co/image/ab67616d0000b27356a4749408240923231b0a6e","1","11","98200","https://p.scdn.co/mp3-preview/cabbc8da595341b09fd146b2bdad2ba94daf0abb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:domodomodomo","2020-04-11T21:24:03Z"
"spotify:track:49U1sODQvevZPTteuJ4azd","54/40 or Fight","spotify:artist:3En4SMrGwoaVbTIyWOQCqx","Dead Moon","spotify:album:2tZAsErQds73KjbWHe4TBJ","Unknown Passage","spotify:artist:3En4SMrGwoaVbTIyWOQCqx","Dead Moon","1989-07-15","https://i.scdn.co/image/ab67616d0000b273d61b66b4f28cc5b39c2ea679","1","4","251337","https://p.scdn.co/mp3-preview/d9e1f9499c66f3e4ff95f4f5ade05de372444fc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:domodomodomo","2020-04-11T20:25:14Z"
"spotify:track:4f0HiyWZhreKLfnxof4uRu","Born Toulouse-Lautrec","spotify:artist:5J17u3xQnvNm5GW5k50foj","New Bomb Turks","spotify:album:3MobczM3b3zWFdXkeC2Tso","Destroy-Oh-Boy!","spotify:artist:5J17u3xQnvNm5GW5k50foj","New Bomb Turks","1993","https://i.scdn.co/image/ab67616d0000b273b854339b9f7cdbe58c0a057f","1","1","153880","https://p.scdn.co/mp3-preview/4749ae7cb4c1af1959161af5a0bf159ccc914592?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:domodomodomo","2020-04-11T19:38:00Z"
"spotify:track:6KOLCKDjs7evNYg5sDHfzS","Notes & Chords Mean Nothing To Me","spotify:artist:2l0m5zZDDup4TwDKwktCfk","The Monkeywrench","spotify:album:2Q3dHJ4uZi5L36XPrvsNmr","Clean As A Broke-Dick Dog","spotify:artist:2l0m5zZDDup4TwDKwktCfk","The Monkeywrench","1992-01-02","https://i.scdn.co/image/ab67616d0000b2732b50018b6487bd7234e92be1","1","12","143506","","false","0","spotify:user:domodomodomo","2020-04-11T20:03:02Z"
"spotify:track:3tNYGRRCSU9wot9lXdX8Rh","Side Kick","spotify:artist:6xTk3EK5T9UzudENVvu9YB","Rancid","spotify:album:44FRRbDmIqioUuIKjua6MT","Let's Go","spotify:artist:6xTk3EK5T9UzudENVvu9YB","Rancid","1994-06-14","https://i.scdn.co/image/ab67616d0000b2737d7f95b8b75403754f8e7104","1","3","121029","https://p.scdn.co/mp3-preview/35128d6a153a55f8066e989addfc2f1692219d56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:domodomodomo","2020-04-11T20:10:09Z"
"spotify:track:1l9cnLyTGFA6cyFNgYv3ks","1,000,000 Years B.C.","spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey","Misfits","spotify:album:102bwQhOKMDsR2vmRgNGM1","Cuts From The Crypt","spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey","Misfits","2001-10-29","https://i.scdn.co/image/ab67616d0000b27349e7178d4011ffee7681c603","1","11","139440","","false","0","spotify:user:domodomodomo","2020-04-11T20:11:03Z"
"spotify:track:5L8zbwK0NsDXrWbQBKD5q3","Flutterbutter","spotify:artist:2X3pNc13eRGofTO9Yt3sMi","Fishbone","spotify:album:1y0IKBrgJhiJnWeQ151lPq","Crazy Glue","spotify:artist:2X3pNc13eRGofTO9Yt3sMi","Fishbone","2011-10-11","https://i.scdn.co/image/ab67616d0000b27357a67106b6f465fce32cd0d7","1","2","297827","https://p.scdn.co/mp3-preview/5b67041d683ac726f60bb7d5f24b79691f6c1768?cid=9950ac751e34487dbbe027c4fd7f8e99","true","12","spotify:user:domodomodomo","2020-04-11T20:21:13Z"
"spotify:track:16RLonBmK3BaWJnYRLUiyH","Linoleum","spotify:artist:4S2yOnmsWW97dT87yVoaSZ","NOFX","spotify:album:2BgiGyMKCFrdpVdYN2H8eK","Punk In Drublic","spotify:artist:4S2yOnmsWW97dT87yVoaSZ","NOFX","1994","https://i.scdn.co/image/ab67616d0000b273658ffa08400e65300896a713","1","1","130266","","false","0","spotify:user:domodomodomo","2020-04-11T20:10:40Z"
"spotify:track:7A7HtdCv9eiy7TjBs0Ad4q","Mr. Bass","spotify:artist:1FGH4Bh7g9W6V4fUcKZWp5","Descendents","spotify:album:2U7TfH0i95pE82kiHdHDL4","Bonus Fat","spotify:artist:1FGH4Bh7g9W6V4fUcKZWp5","Descendents","1987","https://i.scdn.co/image/ab67616d0000b2737b9bbe832974000dadecc9b6","1","2","126133","https://p.scdn.co/mp3-preview/0c6e5469093994f1bc900e613993c31357383fcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:domodomodomo","2020-04-11T20:23:33Z"
"spotify:track:5UOZycbrLWCDTEc9tXCsXT","Mouth Breather","spotify:artist:6r26MaDr8bqNALjXgYPXMa","The Jesus Lizard","spotify:album:5aUPxsTm5dGzwl2hIg4Dfb","Goat (Remaster / Reissue)","spotify:artist:6r26MaDr8bqNALjXgYPXMa","The Jesus Lizard","1991-02-21","https://i.scdn.co/image/ab67616d0000b273c1b693e1a88760724cc27c96","1","2","136973","https://p.scdn.co/mp3-preview/99a3db7cdabbc860e9d615eb8a899994adaba398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:domodomodomo","2020-04-11T20:27:58Z"
"spotify:track:0DWLY2LrPvpWOCB9pP49hV","The People's Microphone","spotify:artist:6I8R5MFTlez7rHCsH4cx0u","Shellac","spotify:album:6EVV6HCplakAL062bgLQdP","Dude Incredible","spotify:artist:6I8R5MFTlez7rHCsH4cx0u","Shellac","2014-09-16","https://i.scdn.co/image/ab67616d0000b27386d946fba9e1db30f7c5d9da","1","6","193173","https://p.scdn.co/mp3-preview/4a8f38b872c68de7c57fff1e90a66a2b21863d26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:domodomodomo","2020-04-11T20:38:37Z"
